,title,year,journal
5983,On the Optimal Fixed-Up-To Pricing for Information Services,2019,Journal of the Association for Information Systems
5984,Manufacturers' Distribution Strategy in the Presence of the Electronic Channel,2008,Journal of Management Information Systems
5987,Managing Information Security Outsourcing in a Dynamic Cooperation Environment,2021,Journal of the Association for Information Systems
5988,Service Engineering - An Interdisciplinary Framework,2010,Journal of Computer Information Systems
5991,Evolutional and Transformational Configuration Strategies - A Rasch Analysis of IT Providers' Service Management Capability,2020,Journal of the Association for Information Systems
5995,Recent Advances and Opportunities for Improving Critical Realism-Based Case Study Research in IS,2020,Journal of the Association for Information Systems
5997,Complexity of Information Systems Development Projects - Conceptualization and Measurement Development,2005,Journal of Management Information Systems
5998,The Complementary Effects of E-Markets on Existing Supplier-Buyer Relationships in a Supply Chain,2008,Journal of Management Information Systems
6004,"""Computing"" Requirements for Open Source Software - A Distributed Cognitive Approach",2018,Journal of the Association for Information Systems
6009,Living in a Simulation? An Empirical Investigation of a Smart Driving-Simulation Testing System,2020,Journal of the Association for Information Systems
6013,Is More Information Better? An Economic Analysis of Group-Buying Platforms,2018,Journal of the Association for Information Systems
6014,An Integrated Temporal Model of Belief and Attitude Change - An Empirical Test With the iPad,2017,Journal of the Association for Information Systems
6016,The Effects of Service and Consumer Product Knowledge on Online Customer Loyalty,2011,Journal of the Association for Information Systems
6022,The Development of Social Capital in the Collaboration Network of Information Systems Scholars,2014,Journal of the Association for Information Systems
6024,Oligopolistic Pricing with Online Search,2010,Journal of Management Information Systems
6027,Information Privacy Concerns - Linking Individual Perceptions with Institutional Privacy Assurances,2011,Journal of the Association for Information Systems
6029,Effects of Symbol Sets and Needs Gratifications on Audience Engagement - Contextualizing Police Social Media Communication,2019,Journal of the Association for Information Systems
6031,Task and Social Information Seeking: Whom Do We Prefer and Whom Do We Approach?,2010,Journal of Management Information Systems
6032,Why Are People Addicted to SNS? Understanding the Role of SNS Characteristics in the Formation of SNS Addiction,2022,Journal of the Association for Information Systems
6033,The Dynamic Effects of Perceptions of Dread Risk and Unknown Risk on SNS Sharing Behavior During Emerging Infectious Disease Events - Do Crisis Stages Matter?,2020,Journal of the Association for Information Systems
6034,Software Process Tailoring - An Empirical Investigation,2007,Journal of Management Information Systems
6035,Impact of Knowledge Support on the Performance of Software Process Tailoring,2008,Journal of Management Information Systems
6036,The Role of Push-Pull Technology in Privacy Calculus: The Case of Location-Based Services,2009,Journal of Management Information Systems
6040,Complex Problem Solving - Identity Matching Based on Social Contextual Information,2007,Journal of the Association for Information Systems
6050,Risk Mitigation in Supply Chain Digitization - System Modularity and Information Technology Governance,2013,Journal of Management Information Systems
6057,Are all fits created equal? A nonlinear perspective on task-technology fit,2013,Journal of the Association for Information Systems
6060,Alternate Strategies for a Win-Win Seeking Agent in Agent-Human Negotiations,2012,Journal of Management Information Systems
6064,A Descriptive Literature Review and Classification of Cloud Computing Research,2012,Communications of the Association for Information Systems
6065,Fostering fast-response spontaneous virtual team: Effects of member skill awareness and shared governance on team cohesion and outcomes,2015,Journal of the Association for Information Systems
6067,Special Issue Editorial - Information Systems Research in the Age of Smart Services,2021,Journal of the Association for Information Systems
6074,Conference sponsors' panel: what have we learnt in 50 years?,2003,The Journal of Strategic Information Systems
6076,Doctors' Orders or Patients' Preferences? Examining the Role of Physicians in Patients' Privacy Decisions on Health Information Exchange Platforms,2019,Journal of the Association for Information Systems
6083,"Value Cocreation for Service Innovation - Examining the Relationships between Service Innovativeness, Customer Participation, and Mobile App Performance",2020,Journal of the Association for Information Systems
6098,The Tables Have Turned - How Can the Information Systems Field Contribute to Technology and Innovation Management Research?,2013,Journal of the Association for Information Systems
6100,A Study of Sourcing Channels for Electronic Business Transactions,2011,Journal of Management Information Systems
6104,The role of standards in innovation and diffusion of broadband mobile services: The case of South Korea,2005,The Journal of Strategic Information Systems
6105,"Emotional Attachment, Performance, and Viability in Teams Collaborating with Embodied Physical Action (EPA) Robots",2018,Journal of the Association for Information Systems
6108,Inconsistent and Incongruent Frames During IT-enabled Change - An Action Research Study into Sales Process Innovation,2016,Journal of the Association for Information Systems
6113,Penetration or Skimming? Pricing Strategies for Software Platforms Considering Asymmetric Cross-Side Network Effects,2022,Journal of the Association for Information Systems
6114,Intrusion Prevention in Information Systems - Reactive and Proactive Responses,2007,Journal of Management Information Systems
6118,Fake-Website Detection Tools: Identifying Elements that Promote Individuals' Use and Enhance their Performance,2015,Journal of the Association for Information Systems
